id,csv_type_id,creator_id,entity_name,field_name,reference_field_name,disp_name,sort_no,enabled,create_date,update_date,discriminator_type
1,1,,Eccube\\Entity\\Product,id,,Định danh sản phẩm,1,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
2,1,,Eccube\\Entity\\Product,Status,id,Mã trạng thái,2,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
3,1,,Eccube\\Entity\\Product,Status,name,Trạng thái,3,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
4,1,,Eccube\\Entity\\Product,name,,Tên sản phẩm,4,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
5,1,,Eccube\\Entity\\Product,note,,Ghi chú,5,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
6,1,,Eccube\\Entity\\Product,description_list,,Mô tả sản phẩm,6,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
7,1,,Eccube\\Entity\\Product,description_detail,,Mô tả sản phẩm (chi tiết),7,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
8,1,,Eccube\\Entity\\Product,search_word,,Từ tìm kiếm,8,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
9,1,,Eccube\\Entity\\Product,free_area,,Khác,9,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
10,1,,Eccube\\Entity\\ProductClass,id,,Mã phân loại sản phẩm,10,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
11,1,,Eccube\\Entity\\ProductClass,SaleType,id,Mã kiểu bán,11,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
12,1,,Eccube\\Entity\\ProductClass,SaleType,name,Tên kiểu bán,12,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
13,1,,Eccube\\Entity\\ProductClass,ClassCategory1,id,Mã loại lớp 1,13,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
14,1,,Eccube\\Entity\\ProductClass,ClassCategory1,name,Loại lớp 1,14,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
15,1,,Eccube\\Entity\\ProductClass,ClassCategory2,id,Mã loại lớp 2,15,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
16,1,,Eccube\\Entity\\ProductClass,ClassCategory2,name,Loại lớp 2,16,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
17,1,,Eccube\\Entity\\ProductClass,DeliveryDuration,id,Mã thời gian vận chuyển,17,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
18,1,,Eccube\\Entity\\ProductClass,DeliveryDuration,name,Thời gian vận chuyển,18,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
19,1,,Eccube\\Entity\\ProductClass,code,,Mã sản phẩm,19,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
20,1,,Eccube\\Entity\\ProductClass,stock,,Số lượng,20,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
21,1,,Eccube\\Entity\\ProductClass,stock_unlimited,,Không giới hạn số lượng,21,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
22,1,,Eccube\\Entity\\ProductClass,sale_limit,,Số lượng bán tối đa cho một lần,22,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
23,1,,Eccube\\Entity\\ProductClass,price01,,Giá gốc,23,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
24,1,,Eccube\\Entity\\ProductClass,price02,,Giá bán,24,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
25,1,,Eccube\\Entity\\ProductClass,delivery_fee,,Phí giao hàng,25,0,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
26,1,,Eccube\\Entity\\Product,ProductImage,file_name,Ảnh sản phẩm,26,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
27,1,,Eccube\\Entity\\Product,ProductCategories,category_id,Mã thể loại,27,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
28,1,,Eccube\\Entity\\Product,ProductCategories,Category,Tên thể loại,28,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
29,1,,Eccube\\Entity\\Product,ProductTag,tag_id,Mã thẻ,29,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
30,1,,Eccube\\Entity\\Product,ProductTag,Tag,Tên thẻ,30,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
31,2,,Eccube\\Entity\\Customer,id,,Mã khách hàng,1,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
32,2,,Eccube\\Entity\\Customer,name01,,Tên,2,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
33,2,,Eccube\\Entity\\Customer,name02,,Họ,3,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
36,2,,Eccube\\Entity\\Customer,company_name,,Tên công ty,6,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
37,2,,Eccube\\Entity\\Customer,postal_code,,Mã bưu điện,7,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
38,2,,Eccube\\Entity\\Customer,Pref,id,Mã tỉnh,9,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
39,2,,Eccube\\Entity\\Customer,Pref,name,Tên tỉnh,10,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
40,2,,Eccube\\Entity\\Customer,addr01,,Quận huyện và thành phố,11,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
41,2,,Eccube\\Entity\\Customer,addr02,,Số nhà và đường,12,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
42,2,,Eccube\\Entity\\Customer,email,,Email,13,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
43,2,,Eccube\\Entity\\Customer,phone_number,,Số điện thoại,14,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
44,2,,Eccube\\Entity\\Customer,Sex,id,Mã giới tính,20,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
45,2,,Eccube\\Entity\\Customer,Sex,name,Tên giới tính,21,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
46,2,,Eccube\\Entity\\Customer,Job,id,Mã việc làm,22,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
47,2,,Eccube\\Entity\\Customer,Job,name,Việc làm,23,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
48,2,,Eccube\\Entity\\Customer,birth,,Sinh nhật,24,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
49,2,,Eccube\\Entity\\Customer,first_buy_date,,Ngày mua hàng đầu tiên,25,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
50,2,,Eccube\\Entity\\Customer,last_buy_date,,Ngày mua hàng sau cùng,26,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
51,2,,Eccube\\Entity\\Customer,buy_times,,Số lần mua hàng,27,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
52,2,,Eccube\\Entity\\Customer,note,,Ghi chú,28,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
53,2,,Eccube\\Entity\\Customer,Status,id,Mã trạng thái,29,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
54,2,,Eccube\\Entity\\Customer,Status,name,Tên trạng thái,30,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
55,2,,Eccube\\Entity\\Customer,create_date,,Ngày đăng ký,31,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
56,2,,Eccube\\Entity\\Customer,update_date,,Ngày cặp nhật,32,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
57,3,,Eccube\\Entity\\Order,id,,Mã đơn hàng,1,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
58,3,,Eccube\\Entity\\Order,order_no,,Số đơn hàng,2,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
59,3,,Eccube\\Entity\\Order,Customer,id,Mã khách hàng,3,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
60,3,,Eccube\\Entity\\Order,name01,,Tên khách hàng,4,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
61,3,,Eccube\\Entity\\Order,name02,,Họ khách hàng,5,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
64,3,,Eccube\\Entity\\Order,company_name,,Tên công ty,8,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
65,3,,Eccube\\Entity\\Order,postal_code,,Mã bưu điện,9,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
66,3,,Eccube\\Entity\\Order,Pref,id,Mã tỉnh,10,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
67,3,,Eccube\\Entity\\Order,Pref,name,Tên tỉnh,11,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
68,3,,Eccube\\Entity\\Order,addr01,,Quận huyện,12,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
69,3,,Eccube\\Entity\\Order,addr02,,Số nhà tên đường,13,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
70,3,,Eccube\\Entity\\Order,email,,Email,14,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
71,3,,Eccube\\Entity\\Order,phone_number,,Số điện thoại,15,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
72,3,,Eccube\\Entity\\Order,Sex,id,Mã giới tính,16,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
73,3,,Eccube\\Entity\\Order,Sex,name,Giới tính,17,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
74,3,,Eccube\\Entity\\Order,Job,id,Mã việc làm,18,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
75,3,,Eccube\\Entity\\Order,Job,name,Việc làm,19,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
76,3,,Eccube\\Entity\\Order,birth,,Sinh nhật,20,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
77,3,,Eccube\\Entity\\Order,note,,Ghi chú,21,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
78,3,,Eccube\\Entity\\Order,subtotal,,Tổng tiền chưa tính phí,22,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
79,3,,Eccube\\Entity\\Order,discount,,Giảm giá,23,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
80,3,,Eccube\\Entity\\Order,delivery_fee_total,,Tổng phí vận chuyển,24,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
81,3,,Eccube\\Entity\\Order,tax,,Thuế,25,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
82,3,,Eccube\\Entity\\Order,total,,Tổng tiền,26,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
83,3,,Eccube\\Entity\\Order,payment_total,,Tổng tiền thanh toán,27,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
84,3,,Eccube\\Entity\\Order,OrderStatus,id,Mã trạng thái đơn hàng,28,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
85,3,,Eccube\\Entity\\Order,OrderStatus,name,Trạng thái đơn hàng,29,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
86,3,,Eccube\\Entity\\Order,Payment,id,Mã phương thức thanh toán,30,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
87,3,,Eccube\\Entity\\Order,payment_method,,Phương thức thanh toán,31,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
88,3,,Eccube\\Entity\\Order,order_date,,Ngày đặt hàng,32,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
89,3,,Eccube\\Entity\\Order,payment_date,,Ngày trả tiền,33,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
90,3,,Eccube\\Entity\\OrderItem,id,,Mã chi tiết đơn hàng,34,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
91,3,,Eccube\\Entity\\OrderItem,Product,id,Định danh sản phẩm,35,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
92,3,,Eccube\\Entity\\OrderItem,ProductClass,id,Mã phân loại sản phẩm,36,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
93,3,,Eccube\\Entity\\OrderItem,product_name,,Tên sản phẩm,37,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
94,3,,Eccube\\Entity\\OrderItem,product_code,,Mã sản phẩm,38,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
95,3,,Eccube\\Entity\\OrderItem,class_name1,,Lựa chọn 1,39,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
96,3,,Eccube\\Entity\\OrderItem,class_name2,,Lựa chọn 2,40,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
97,3,,Eccube\\Entity\\OrderItem,class_category_name1,,Tên loại lớp 1,41,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
